Site,Structure_ID,Lab_ID,Material,Species,Individual_ID,C13_Delta,N15_Delta,C14_Age,C14_SD,calCurve,Period,Culture,Reference
Galeria da Cisterna,Layer A,"OxA-27982	",Bone,Ovis sp.,F22-696,NA,NA,2129,27,intcal20,Iron Age,NA,"Zilhão, 2021"
Galeria da Cisterna,Underwater,"Beta-124199	",Wood,NA,NA,NA,NA,2270,40,intcal20,Iron Age,NA,"Zilhão, 2021"
Galeria da Cisterna,Split A1 LayerA,OxA-27983,Bone,Capra sp.,G19-419,NA,NA,3310,28,intcal20,Bronze Age,NA,"Zilhão, 2021"
Galeria da Cisterna,Split A2 LayerA,OxA-27984,Bone,Capra sp.,G21-556,NA,NA,3354,28,intcal20,Bronze Age,NA,"Zilhão, 2021"
Galeria da Cisterna,Split A1 LayerA,OxA-X-2515-17,Bone,Ovis aries,G18-129,NA,NA,3378,32,intcal20,Bronze Age,NA,"Zilhão, 2021"
Galeria da Cisterna,Split A2 LayerA,OxA-28856,Bone,Homo sapiens,G19-785,NA,NA,3774,28,intcal20,Chalcolithic,Bell Beaker,"Zilhão, 2021"
Galeria da Cisterna,Split A4 LayerA,OxA-28858,Bone,Homo sapiens,G21-1765,NA,NA,3819,29,intcal20,Chalcolithic,Bell Beaker,"Zilhão, 2021"
Galeria da Cisterna,Split A1 LayerA,OxA-28857,Bone,Homo sapiens,G18-187,NA,NA,3836,29,intcal20,Chalcolithic,Bell Beaker,"Zilhão, 2021"
Galeria da Cisterna,Layer A,OxA-28859,Bone,Homo sapiens,F23-90,NA,NA,3847,29,intcal20,Chalcolithic,Bell Beaker,"Zilhão, 2021"
Galeria da Cisterna,Split A4 LayerA,S-EVA-25635,Bone,Homo sapiens,G21-1762,NA,NA,3865,17,intcal20,Chalcolithic,Bell Beaker,"Zilhão, 2021"
Galeria da Cisterna,Split A3 LayerA,S-EVA-27410,Bone,Homo sapiens,G21-1079,NA,NA,3872,19,intcal20,Chalcolithic,Bell Beaker,"Zilhão, 2021"
Galeria da Cisterna,Split A3 Layer A,"Wk-38575	",Bone,Homo sapiens,"G21-1080	",NA,NA,6253,30,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Galeria da Cisterna,Split A4 Layer A,"S-EVA-25634	",Bone,Cervus elaphus,"G21-1871	",NA,NA,6261,20,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Galeria da Cisterna,Split B2 Layer A,"Wk-38574	",Bone,Homo sapiens,"G20-1030	",NA,NA,6270,30,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Galeria da Cisterna,Layer A,"OxA-28855	",Bone,Homo sapiens,"F19-385	",NA,NA,6280,34,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Galeria da Cisterna,Split A3 Layer A,"Wk-38576	",Bone,Homo sapiens,"G21-1081	",NA,NA,6312,31,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Galeria da Cisterna,Split A2 LayerA,"S-EVA-27412	",Bone,Homo sapiens,"G21-631	",NA,NA,6319,22,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Galeria da Cisterna,Split A4 Layer A,"S-EVA-27411	",Bone,Homo sapiens,"G21-1764	",NA,NA,6380,21,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Galeria da Cisterna,Split A4 Layer A,"OxA-9288	",Bone,Cervus elaphus,"G21-2278	",NA,NA,6445,45,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Galeria da Cisterna,Layer A,"OxA-9287	",Bone,Cervus elaphus,"F19-52	",NA,NA,6445,45,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E1 Layer Eb-indif Phase NM,"OxA-35145	",Bone,Homo sapiens,M18sc36,NA,NA,4770,32,intcal20,Neolithic,NA,"Zilhão, 2021"
Gruta do Caldeirão,Split E1 Layer Eb-sup Phase NM,"TO-349	",Bone,Homo sapiens,"O14-78	",NA,NA,4940,70,intcal20,Neolithic,NA,"Zilhão, 2021"
Gruta do Caldeirão,Split E1 Layer Eb-indif Phase NA1,"TO-350	",Bone,Homo sapiens,"Q11-88	",NA,NA,5810,70,intcal20,Neolithic,Epicardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E1.2 Layer Ea Phase NA1,"OxA-1036	",Bone,Bos taurus,"Q13-62	",NA,NA,5870,80,intcal20,Neolithic,Epicardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E1.2 Layer Ea Phase NA1,"OxA-1037	",Bone,Bos taurus,"Q13-66	",NA,NA,5970,120,intcal20,Neolithic,Epicardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E5 Layer Eb-indif Phase NA2-A,"OxA-1033	",Bone,Homo sapiens,"O12-50	",NA,NA,6130,90,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E5 Layer Eb-indif Phase NA2,"OxA-1034	",Bone,Ovis aries,"Q13-99	",NA,NA,6230,80,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E6 Layer Eb-indif Phase NA2-A,"UBA-40087	",Bone,Homo sapiens,"Q12-186	",NA,NA,6237,35,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E2 Layer Eb inf Phase NA2-A,"OxA-35146	",Bone,Homo sapiens,"N15-68	",NA,NA,6242,35,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E7 Layer Eb indif Phase NA2-A,"Wk-38579	",Bone,Homo sapiens,"P12-151	",NA,NA,6260,33,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E1 Layer Ea Phase NA2,"OxA-1035	",Bone,Ovis aries,"P14-44	",NA,NA,6330,80,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E Layer Eb-indf Phase NA2-B,"Wk-38577	",Bone,Homo sapiens,P11sc174,NA,NA,6345,31,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split F11 Layer Fb Phase NA2-B,"OxA-37728	",Bone,Homo sapiens,"P12-251	",NA,NA,6350,34,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split ABC1 Layer ABC-D Phase NA2-B,"OxA-35147	",Bone,Homo sapiens,"O9sc97	",NA,NA,6368,34,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split F3 Layer Fb Phase NA2-B,"OxA-37729	",Bone,Homo sapiens,"O12-57	",NA,NA,6374,34,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E2 Layer Eb-indif Phase NA2-C,"UBA-40088	",Bone,Homo sapiens,"R11-8	",NA,NA,6415,36,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E2 Layer Eb-indif Phase NA2-C,"Wk-38580	",Bone,Homo sapiens,R11-7,NA,NA,6444,33,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E6 Layer Eb-indif Phase NA2-C,"Wk-38578	",Bone,Homo sapiens,"Q12-181	",NA,NA,6452,29,intcal20,Neolithic,Cardial,"Zilhão, 2021"
Gruta do Caldeirão,Split E4 Layer Eb-indif Phase NA2,"ICEN-296	",Charcoal,NA,"P14-84	",NA,NA,6870,210,intcal20,Pre-Neolithic,NA,"Zilhão, 2021"
Torre Velha 3,Tomb 2550-2551,Sac-2466,Bone,Bos taurus,2016,-21.8,NA,3250,60,intcal20,Bronze Age,SW Bronze Age,Alves et al.2010
Torre Velha 3,Tomb 1662-1664,Beta-262199,Bone,Ovis aries,1601,-20.5,NA,3300,40,intcal20,Bronze Age,SW Bronze Age,Alves et al.2010
Torre Velha 3,Tomb 2119-2120,Sac-2465,Bone,Bos taurus,2008,-22,NA,3300,50,intcal20,Bronze Age,SW Bronze Age,Alves et al.2010
Torre Velha 3,Tomb 1489-1490,Sac-2489,Bone,Bos taurus,1511,-22.3,NA,3300,45,intcal20,Bronze Age,SW Bronze Age,Alves et al.2010
Torre Velha 3,Tomb 2498-2497,Sac-2480,Bone,Bos taurus,2489,-19.8,NA,3340,50,intcal20,Bronze Age,SW Bronze Age,Alves et al.2010
Torre Velha 3,Tomb 1949-1950,Sac-2490,Bone,Bos taurus,1801,-21.5,NA,3410,60,intcal20,Bronze Age,SW Bronze Age,Alves et al.2010
Torre Velha 3,Tomb 1267-1792,Sac-2825,Bone,Homo sapiens,1714,-20.3,NA,3280,50,intcal20,Bronze Age,SW Bronze Age,Valério et al. 2014
Torre Velha 3,Tomb 2356-2357,Sac-2827,Bone,Homo sapiens,2051,-20.3,NA,3340,80,intcal20,Bronze Age,SW Bronze Age,Valério et al. 2014
Torre Velha 3,Tomb 2417-2418,Sac-2826,Bone,Homo sapiens,2241,-20.5,NA,3170,90,intcal20,Bronze Age,SW Bronze Age,Valério et al. 2014
Torre Velha 3,Tomb 1212,Sac-2882,Bone,Homo sapiens,969,-21,NA,3330,50,intcal20,Bronze Age,SW Bronze Age,Valério et al. 2014
Torre Velha 3,Tomb 2392,"Sac-2883	",Bone,Homo sapiens,1991,-20.6,NA,3290,50,intcal20,Bronze Age,SW Bronze Age,Valério et al. 2014
Belmeque,Tomb Belm1,ICEN-142,Bone,Homo sapiens,NA,-18.6,NA,3230,60,intcal20,Bronze Age,SW Bronze Age,Alves et al.2010
Monte da Cabida 3,Tomb 9,Sac-2631,Bone,Homo sapiens,904,-18.9,NA,3290,60,intcal20,Bronze Age,SW Bronze Age,Matoloto et al. 2013
Monte da Cabida 3,Tomb 41/931,Sac-2888,Bone,Homo sapiens,NA,-19.4,NA,3490,50,intcal20,Bronze Age,SW Bronze Age,Valério et al. 2014
Monte da Cabida 3,Tomb 64/960,Sac-2437,Bone,Homo sapiens,NA,-20.5,NA,3330,45,intcal20,Bronze Age,SW Bronze Age,Valério et al. 2014
Monte da Cabida 3,Tomb 62,Sac-2436,Bone,Homo sapiens,Burial 1,-20,NA,2880,50,intcal20,Bronze Age,SW Bronze Age,Soares et al. 2009
Monte da Cabida 3,UE 986,Sac-2315,Charcoal,NA,Pit 62,-22.9,NA,2920,70,intcal20,Bronze Age,SW Bronze Age,Soares et al. 2009
Monte da Cabida 3,UE 986,Sac-2322,Fauna,NA_fauna,Pit 62,-21.3,NA,2860,40,intcal20,Bronze Age,SW Bronze Age,Soares et al. 2009
Castellón Alto ,Tomb 7,Ua-37879,Bone,Homo sapiens,4098-1,NA,NA,3490,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,Tomb 7,Ua-37880,Bone,Homo sapiens,4098-2,NA,NA,3455,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,Tomb 75,Ua-37881,Bone,Homo sapiens,35441,NA,NA,3510,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,Tomb 75,Ua-37882,Bone,Homo sapiens,35442,NA,NA,3630,50,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,Tomb 85,Ua-37883,Bone,Homo sapiens,4475,NA,NA,3665,45,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,Tomb 85,Ua-37884,Bone,Homo sapiens,4520,NA,NA,3570,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,Tomb 91,Ua-37885,Bone,Homo sapiens,351122,NA,NA,3475,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,Tomb 91,Ua-37886,Bone,Homo sapiens,351123,NA,NA,3445,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,NA,Ua-37887,Bone,Homo sapiens,NA,NA,NA,3425,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,NA,Ua-37888,Bone,Homo sapiens,NA,NA,NA,3840,60,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,NA,Ua-37889,Bone,Homo sapiens,NA,NA,NA,3435,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,Tomb 110,Ua-37890,Bone,Homo sapiens,351191,NA,NA,3565,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,Tomb 110,Ua-37891,Bone,Homo sapiens,351192,NA,NA,3530,45,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,NA,Ua-37892,Bone,Homo sapiens,NA,NA,NA,3640,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,NA,Ua-37893,Bone,Homo sapiens,NA,NA,NA,3520,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,NA,Ua-37894,Bone,Homo sapiens,NA,NA,NA,3495,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Castellón Alto ,NA,Ua-37895,Bone,Homo sapiens,NA,NA,NA,3480,40,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39397,Bone,Homo sapiens,NA,NA,NA,3286,34,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,Tomb 4,Ua-39398,Bone,Homo sapiens,1,NA,NA,3466,35,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,Tomb 4,Ua-39399,Bone,Homo sapiens,2,NA,NA,3437,34,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39400,Bone,Homo sapiens,NA,NA,NA,3479,33,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,6,Ua-39401,Bone,Homo sapiens,1,NA,NA,3488,34,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,6,Ua-39402,Bone,Homo sapiens,2,NA,NA,3500,35,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39403,Bone,Homo sapiens,NA,NA,NA,3426,34,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39404,Bone,Homo sapiens,NA,NA,NA,3394,36,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39405,Bone,Homo sapiens,NA,NA,NA,3468,34,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39406,Bone,Homo sapiens,NA,NA,NA,3564,34,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39407,Bone,Homo sapiens,NA,NA,NA,3709,41,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39408,Bone,Homo sapiens,NA,NA,NA,3216,33,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39409,Bone,Homo sapiens,NA,NA,NA,3187,31,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,Tomb 21,Ua-39410,Bone,Homo sapiens,A1,NA,NA,3586,36,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,Tomb 21,Ua-39411,Bone,Homo sapiens,B1,NA,NA,3391,34,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,Tomb 22,Ua-39412,Bone,Homo sapiens,A1,NA,NA,3525,33,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,Tomb 22,Ua-39413,Bone,Homo sapiens,B1,NA,NA,3433,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39414,Bone,Homo sapiens,NA,NA,NA,3487,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39415,Bone,Homo sapiens,NA,NA,NA,3429,31,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39416,Bone,Homo sapiens,NA,NA,NA,3323,31,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,Tomb 29,Ua-39417,Bone,Homo sapiens,1,NA,NA,3401,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,Tomb 29,Ua-39418,Bone,Homo sapiens,2,NA,NA,3326,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,Tomb 30,Ua-39419,Bone,Homo sapiens,A1,NA,NA,3802,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,Tomb 30,Ua-39420,Bone,Homo sapiens,B1,NA,NA,3780,32,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,Tomb 30,Ua-39421,Bone,Homo sapiens,C1,NA,NA,3785,33,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39422,Bone,Homo sapiens,NA,NA,NA,3406,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cerro de la Virgen,NA,Ua-39423,Bone,Homo sapiens,NA,NA,NA,3395,35,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39462,Bone,Homo sapiens,NA,NA,NA,3275,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 2,Ua-39463,Bone,Homo sapiens,P39011,NA,NA,3505,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 2,Ua-39464,Bone,Homo sapiens,P39012,NA,NA,3508,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39465,Bone,Homo sapiens,NA,NA,NA,3242,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 4,Ua-39466,Bone,Homo sapiens,P12089,NA,NA,3281,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 4,Ua-39467,Bone,Homo sapiens,P12092,NA,NA,3375,32,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39468,Bone,Homo sapiens,NA,NA,NA,3469,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 6,Ua-39469,Bone,Homo sapiens,P12105a,NA,NA,3132,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 6,Ua-39470,Bone,Homo sapiens,P12105b,NA,NA,3378,32,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39471,Bone,Homo sapiens,NA,NA,NA,3418,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39472,Bone,Homo sapiens,NA,NA,NA,3316,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 9,Ua-39473,Bone,Homo sapiens,P11085a,NA,NA,3413,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 9,Ua-39474,Bone,Homo sapiens,P11085b,NA,NA,3414,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39475,Bone,Homo sapiens,NA,NA,NA,3499,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39476,Bone,Homo sapiens,NA,NA,NA,3568,31,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39477,Bone,Homo sapiens,NA,NA,NA,3377,32,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39478,Bone,Homo sapiens,NA,NA,NA,3548,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39479,Bone,Homo sapiens,NA,NA,NA,3472,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 19,Ua-39480,Bone,Homo sapiens,P3697,NA,NA,3589,31,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 19,Ua-39481,Bone,Homo sapiens,P3698,NA,NA,3511,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39482,Bone,Homo sapiens,NA,NA,NA,3467,31,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39483,Bone,Homo sapiens,NA,NA,NA,3411,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39484,Bone,Homo sapiens,NA,NA,NA,3355,31,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39485,Bone,Homo sapiens,NA,NA,NA,3365,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39486,Bone,Homo sapiens,NA,NA,NA,3521,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39487,Bone,Homo sapiens,NA,NA,NA,3534,34,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 29,Ua-39488,Bone,Homo sapiens,P45207,NA,NA,3413,31,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 29,Ua-39489,Bone,Homo sapiens,P45208,NA,NA,3288,34,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,NA,Ua-39490,Bone,Homo sapiens,NA,NA,NA,3339,30,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 31,Ua-39491,Bone,Homo sapiens,P45520,NA,NA,3254,33,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
Cuesta del Negro,Tomb 31,Ua-39492,Bone,Homo sapiens,P45521,NA,NA,3287,32,intcal20,Bronze Age,El Argar,"Serrano and González, 2009"
